i,j,sim
0,1,1.0
0,2,1.0
0,3,1.0
0,4,1.0
0,5,1.0
0,6,1.0
0,7,0.815364846836746
0,8,1.0
0,9,1.0
0,10,0.815364846836746
0,11,0.815364846836746
0,12,1.0
0,13,1.0
0,14,0.6920976820421636
0,15,0.7352983620513946
0,16,1.0
0,17,0.5724922401062387
0,18,1.0
0,19,1.0
0,20,0.8817862305488728
0,21,0.5724922401062387
0,22,1.0
0,23,1.0
0,24,1.0
0,25,1.0
0,26,0.5036412081848483
0,27,0.6578994217195917
0,28,1.0
0,29,0.815364846836746
0,30,1.0
0,31,0.7352983620513946
0,32,1.0
0,33,1.0
0,34,1.0
0,35,1.0
0,36,0.9507041881709587
0,37,0.5788029009814162
0,38,1.0
0,39,1.0
0,40,1.0
0,41,0.815364846836746
0,42,1.0
0,43,1.0
0,44,0.815364846836746
0,45,1.0
0,46,0.815364846836746
0,47,0.8900421475582843
0,48,0.6138920828757966
0,49,1.0
0,50,0.662551467494809
0,51,0.9093470323264
0,52,1.0
0,53,1.0
0,54,0.5503213021132917
0,55,1.0
0,56,1.0
0,57,0.815364846836746
0,58,1.0
0,59,1.0
0,60,0.5705868745146897
0,61,1.0
0,62,1.0
0,63,1.0
0,64,0.815364846836746
0,65,0.662551467494809
0,66,1.0
0,67,1.0
0,68,1.0
0,69,1.0
0,70,0.662551467494809
0,71,1.0
0,72,1.0
0,73,1.0
0,74,1.0
0,75,1.0
0,76,0.815364846836746
0,77,1.0
0,78,1.0
0,79,1.0
0,80,0.6920976820421636
0,81,0.815364846836746
0,82,1.0
0,83,1.0
0,84,1.0
0,85,0.815364846836746
0,86,0.7022057879801827
0,87,1.0
0,88,1.0
0,89,1.0
0,90,0.815364846836746
0,91,0.9470950619839522
0,92,1.0
0,93,1.0
0,94,1.0
0,95,0.9470950619839522
0,96,1.0
0,97,1.0
0,98,1.0
0,99,0.9093470323264
0,100,1.0
0,101,1.0
0,102,0.9093470323264
0,103,0.815364846836746
0,104,1.0
0,105,1.0
0,106,0.815364846836746
0,107,1.0
0,108,1.0
0,109,0.7226827032153371
0,110,1.0
0,111,1.0
0,112,1.0
0,113,1.0
0,114,0.18916734759622822
0,115,0.815364846836746
0,116,1.0
0,117,1.0
0,118,1.0
0,119,0.9093470323264
0,120,1.0
0,121,1.0
0,122,1.0
0,123,1.0
0,124,0.815364846836746
0,125,1.0
0,126,1.0
0,127,1.0
0,128,1.0
0,129,1.0
0,130,1.0
0,131,1.0
0,132,1.0
0,133,1.0
0,134,0.7352983620513946
0,135,1.0
0,136,1.0
0,137,1.0
0,138,1.0
0,139,0.7947423890622793
0,140,0.9470950619839522
0,141,1.0
0,142,1.0
0,143,0.815364846836746
0,144,0.5724922401062387
0,145,1.0
0,146,0.815364846836746
0,147,0.18373876686006013
0,148,1.0
0,149,1.0
0,150,0.815364846836746
0,151,1.0
0,152,1.0
0,153,0.9093470323264
0,154,1.0
0,155,0.9093470323264
0,156,1.0
0,157,1.0
0,158,0.8900421475582843
0,159,1.0
0,160,1.0
0,161,1.0
0,162,1.0
0,163,1.0
0,164,1.0
0,165,1.0
0,166,1.0
0,167,1.0
0,168,1.0
0,169,0.550429150592159
0,170,1.0
0,171,1.0
0,172,1.0
0,173,0.14975734262632112
0,174,1.0
0,175,0.5724922401062387
0,176,0.662551467494809
0,177,1.0
0,178,1.0
0,179,0.6820969984331005
0,180,1.0
0,181,0.9093470323264
0,182,0.815364846836746
0,183,1.0
0,184,1.0
0,185,1.0
0,186,1.0
0,187,0.9093470323264
1,2,1.0
1,3,1.0
1,4,1.0
1,5,1.0
1,6,1.0
1,7,0.815364846836746
1,8,1.0
1,9,1.0
1,10,0.815364846836746
1,11,0.815364846836746
1,12,1.0
1,13,1.0
1,14,0.6920976820421636
1,15,0.7352983620513946
1,16,1.0
1,17,0.5724922401062387
1,18,1.0
1,19,1.0
1,20,0.8817862305488728
1,21,0.5724922401062387
1,22,1.0
1,23,1.0
1,24,1.0
1,25,1.0
1,26,0.5036412081848483
1,27,0.6578994217195917
1,28,1.0
1,29,0.815364846836746
1,30,1.0
1,31,0.7352983620513946
1,32,1.0
1,33,1.0
1,34,1.0
1,35,1.0
1,36,0.9507041881709587
1,37,0.5788029009814162
1,38,1.0
1,39,1.0
1,40,1.0
1,41,0.815364846836746
1,42,1.0
1,43,1.0
1,44,0.815364846836746
1,45,1.0
1,46,0.815364846836746
1,47,0.8900421475582843
1,48,0.6138920828757966
1,49,1.0
1,50,0.662551467494809
1,51,0.9093470323264
1,52,1.0
1,53,1.0
1,54,0.5503213021132917
1,55,1.0
1,56,1.0
1,57,0.815364846836746
1,58,1.0
1,59,1.0
1,60,0.5705868745146897
1,61,1.0
1,62,1.0
1,63,1.0
1,64,0.815364846836746
1,65,0.662551467494809
1,66,1.0
1,67,1.0
1,68,1.0
1,69,1.0
1,70,0.662551467494809
1,71,1.0
1,72,1.0
1,73,1.0
1,74,1.0
1,75,1.0
1,76,0.815364846836746
1,77,1.0
1,78,1.0
1,79,1.0
1,80,0.6920976820421636
1,81,0.815364846836746
1,82,1.0
1,83,1.0
1,84,1.0
1,85,0.815364846836746
1,86,0.7022057879801827
1,87,1.0
1,88,1.0
1,89,1.0
1,90,0.815364846836746
1,91,0.9470950619839522
1,92,1.0
1,93,1.0
1,94,1.0
1,95,0.9470950619839522
1,96,1.0
1,97,1.0
1,98,1.0
1,99,0.9093470323264
1,100,1.0
1,101,1.0
1,102,0.9093470323264
1,103,0.815364846836746
1,104,1.0
1,105,1.0
1,106,0.815364846836746
1,107,1.0
1,108,1.0
1,109,0.7226827032153371
1,110,1.0
1,111,1.0
1,112,1.0
1,113,1.0
1,114,0.18916734759622822
1,115,0.815364846836746
1,116,1.0
1,117,1.0
1,118,1.0
1,119,0.9093470323264
1,120,1.0
1,121,1.0
1,122,1.0
1,123,1.0
1,124,0.815364846836746
1,125,1.0
1,126,1.0
1,127,1.0
1,128,1.0
1,129,1.0
1,130,1.0
1,131,1.0
1,132,1.0
1,133,1.0
1,134,0.7352983620513946
1,135,1.0
1,136,1.0
1,137,1.0
1,138,1.0
1,139,0.7947423890622793
1,140,0.9470950619839522
1,141,1.0
1,142,1.0
1,143,0.815364846836746
1,144,0.5724922401062387
1,145,1.0
1,146,0.815364846836746
1,147,0.18373876686006013
1,148,1.0
1,149,1.0
1,150,0.815364846836746
1,151,1.0
1,152,1.0
1,153,0.9093470323264
1,154,1.0
1,155,0.9093470323264
1,156,1.0
1,157,1.0
1,158,0.8900421475582843
1,159,1.0
1,160,1.0
1,161,1.0
1,162,1.0
1,163,1.0
1,164,1.0
1,165,1.0
1,166,1.0
1,167,1.0
1,168,1.0
1,169,0.550429150592159
1,170,1.0
1,171,1.0
1,172,1.0
1,173,0.14975734262632112
1,174,1.0
1,175,0.5724922401062387
1,176,0.662551467494809
1,177,1.0
1,178,1.0
1,179,0.6820969984331005
1,180,1.0
1,181,0.9093470323264
1,182,0.815364846836746
1,183,1.0
1,184,1.0
1,185,1.0
1,186,1.0
1,187,0.9093470323264
2,3,1.0
2,4,1.0
2,5,1.0
2,6,1.0
2,7,0.815364846836746
2,8,1.0
2,9,1.0
2,10,0.815364846836746
2,11,0.815364846836746
2,12,1.0
2,13,1.0
2,14,0.6920976820421636
2,15,0.7352983620513946
2,16,1.0
2,17,0.5724922401062387
2,18,1.0
2,19,1.0
2,20,0.8817862305488728
2,21,0.5724922401062387
2,22,1.0
2,23,1.0
2,24,1.0
2,25,1.0
2,26,0.5036412081848483
2,27,0.6578994217195917
2,28,1.0
2,29,0.815364846836746
2,30,1.0
2,31,0.7352983620513946
2,32,1.0
2,33,1.0
2,34,1.0
2,35,1.0
2,36,0.9507041881709587
2,37,0.5788029009814162
2,38,1.0
2,39,1.0
2,40,1.0
2,41,0.815364846836746
2,42,1.0
2,43,1.0
2,44,0.815364846836746
2,45,1.0
2,46,0.815364846836746
2,47,0.8900421475582843
2,48,0.6138920828757966
2,49,1.0
